2021-06-04T16:17:48.093Z [AUDIT] Token created by 'anonymous': tokenId='8a2a63c1-baa1-4b46-91c7-f40417140db3', issuer='jfrou@01f7bx1pe9qecxd1dj698wp1v5', subject='jfrou@01f7bx1pe9qecxd1dj698wp1v5', expiry=none, refreshable=false
2021-06-04T16:19:27.339Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='2aaaca22-6176-444a-b258-333b2737cd24', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1622909967321, refreshable=true
2021-06-04T16:19:27.355Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='ff3ff71d-6ff6-4d21-b7c0-bbd267c2bb04', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1622909967327, refreshable=true
2021-06-04T16:19:27.356Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='ca1a0e4a-0feb-4026-b50a-3e1c7275ebb0', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1622909967334, refreshable=true
2021-06-04T16:19:27.360Z [AUDIT] Token created by 'jfevt@01f7bx19j4gse11x6zk7h10p62': tokenId='3647bad0-ed19-4b1c-90f4-3ca366afeda5', issuer='jfevt@01f7bx19j4gse11x6zk7h10p62', subject='jfevt@01f7bx19j4gse11x6zk7h10p62', expiry=1622909967327, refreshable=true
2021-06-04T16:19:27.441Z [AUDIT] Token created by 'anonymous': tokenId='e68e9c4b-8180-4db8-9d83-e6c55e089002', issuer='jfmd@01f7bx1qtktj5dgrd7t445jeh2', subject='jfmd@01f7bx1qtktj5dgrd7t445jeh2', expiry=none, refreshable=false
2021-06-04T16:19:31.181Z [AUDIT] Token created by 'anonymous': tokenId='9f0dbfd7-cb19-433c-9142-aa2755e9e28b', issuer='jfrt@01f7bx52m3966z1w8h4npq0tdb', subject='jfrt@01f7bx52m3966z1w8h4npq0tdb', expiry=none, refreshable=false
2021-06-04T16:19:35.946Z [AUDIT] Token created by 'jfrt@01f7bx52m3966z1w8h4npq0tdb': tokenId='aba1b5ae-d415-44e4-ab48-6598ad03ef73', issuer='jfrt@01f7bx52m3966z1w8h4npq0tdb', subject='jfrt@01f7bx52m3966z1w8h4npq0tdb', expiry=2568903575940, refreshable=false
2021-06-04T16:19:39.533Z [AUDIT] Token created by 'jfrt@01f7bx52m3966z1w8h4npq0tdb': tokenId='dc411c22-8549-44dd-b7ae-587e447bc4c3', issuer='jfrt@01f7bx52m3966z1w8h4npq0tdb/users/_system_', subject='jfrt@01f7bx52m3966z1w8h4npq0tdb/users/_system_', expiry=none, refreshable=false
2021-06-04T16:19:48.928Z [AUDIT] Token created by 'anonymous': tokenId='9d9e77a0-b3ca-4a5b-8617-430118246dbd', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-06-04T16:19:49.012Z [AUDIT] Token created by 'jffe@000': tokenId='2a337f1b-0f93-44cb-baa2-c8043aab474f', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622824189012, refreshable=false
2021-06-04T16:20:31.542Z [AUDIT] Token created by 'jffe@000': tokenId='73cfbae3-c1c2-44cc-a7e1-75c177df8411', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824231541, refreshable=false
2021-06-04T16:20:31.543Z [AUDIT] Token created by 'jffe@000': tokenId='fc86a552-4895-424f-8561-dd5852447245', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824231542, refreshable=false
2021-06-04T16:20:31.559Z [AUDIT] Token created by 'jffe@000': tokenId='798e64e9-38c3-4e6a-942e-8fc691cf7120', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824231537, refreshable=false
2021-06-04T16:20:31.615Z [AUDIT] Token created by 'jffe@000': tokenId='171ef5eb-4b44-4c70-a2bb-00b4ebae5d4b', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622824231615, refreshable=false
2021-06-04T16:29:12.398Z [AUDIT] Token created by 'jffe@000': tokenId='641047d7-8c29-423d-a372-20ef90eb66d8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825952395, refreshable=true
2021-06-04T16:29:12.551Z [AUDIT] Token created by 'jffe@000': tokenId='77c8981a-ccbc-457c-a4f6-9a0eba899a90', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824752550, refreshable=false
2021-06-04T16:29:12.560Z [AUDIT] Token created by 'jffe@000': tokenId='d91f7c21-544a-4bd9-b693-6f3e10d98e15', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824752559, refreshable=false
2021-06-04T16:29:12.565Z [AUDIT] Token created by 'jffe@000': tokenId='8d487264-b0f4-4876-a149-c44c131090f3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622824752565, refreshable=false
2021-06-04T16:29:51.476Z [AUDIT] Token created by 'jffe@000': tokenId='4f515855-aecb-4b3b-8714-486dd73929d0', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622824791476, refreshable=false
2021-06-04T16:29:51.477Z [AUDIT] Token created by 'jffe@000': tokenId='f4eb05b9-a206-47e9-9eba-1014ef050431', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622824791477, refreshable=false
2021-06-04T16:29:51.478Z [AUDIT] Token created by 'jffe@000': tokenId='c4a2bc08-c240-4264-ad0f-68bde09aad3d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622824791476, refreshable=false
2021-06-04T16:34:28.761Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='641047d7-8c29-423d-a372-20ef90eb66d8', tokenId='5f4e2e7e-ca3e-4939-8371-7f6e2e77d719', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826268750, refreshable=true
2021-06-04T16:34:52.837Z [AUDIT] Token created by 'jffe@000': tokenId='da6d6ddf-1b10-48f5-9efd-0ec6b1226894', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826292835, refreshable=true
2021-06-04T16:34:52.931Z [AUDIT] Token created by 'jffe@000': tokenId='208c9439-01e4-4674-b463-526a34c6b507', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825092930, refreshable=false
2021-06-04T16:34:52.945Z [AUDIT] Token created by 'jffe@000': tokenId='feea56cd-8f39-4c3b-9e8d-76dd975ea1e5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825092944, refreshable=false
2021-06-04T16:38:55.983Z [AUDIT] Token created by 'jffe@000': tokenId='16a6defc-30c5-4efe-9125-da5cc416e415', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622825335983, refreshable=false
2021-06-04T16:38:56.195Z [AUDIT] Token created by 'jffe@000': tokenId='466adda1-cfcd-4081-a72c-78f8e8d1ea45', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825336195, refreshable=false
2021-06-04T16:39:51.546Z [AUDIT] Token created by 'jffe@000': tokenId='8f5132a1-4363-4124-9f48-32f0615a30d2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825391546, refreshable=false
2021-06-04T16:39:51.546Z [AUDIT] Token created by 'jffe@000': tokenId='5e64137d-3b21-416c-aeb6-6f699dfddbd1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825391546, refreshable=false
2021-06-04T16:39:51.550Z [AUDIT] Token created by 'jffe@000': tokenId='95b98dec-66f1-493b-b71c-807bab58ee46', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825391550, refreshable=false
2021-06-04T16:43:55.299Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='da6d6ddf-1b10-48f5-9efd-0ec6b1226894', tokenId='a6f4547f-5251-4c29-b1a3-fedc097bd5fe', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826835294, refreshable=true
2021-06-04T16:45:00.371Z [AUDIT] Token created by 'jffe@000': tokenId='d9365f88-1174-4dba-a7db-0219e2b1bfa3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622825700371, refreshable=false
2021-06-04T16:49:51.641Z [AUDIT] Token created by 'jffe@000': tokenId='2e97aef0-35d9-4cf4-994f-76d33505e1f1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825991641, refreshable=false
2021-06-04T16:49:51.643Z [AUDIT] Token created by 'jffe@000': tokenId='b782a6c7-f12f-4623-8286-6a67f4579581', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825991643, refreshable=false
2021-06-04T16:49:51.641Z [AUDIT] Token created by 'jffe@000': tokenId='3068f1ca-708b-4634-8e21-c8828a3e91c1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622825991641, refreshable=false
2021-06-04T16:54:03.807Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='a6f4547f-5251-4c29-b1a3-fedc097bd5fe', tokenId='8f7f90fa-ad66-4863-ae13-c65614c2b3f2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622827443801, refreshable=true
2021-06-04T16:55:02.091Z [AUDIT] Token created by 'jffe@000': tokenId='83c76515-2b58-4fa2-988e-f941021002c7', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826302091, refreshable=false
2021-06-04T16:59:51.697Z [AUDIT] Token created by 'jffe@000': tokenId='b83e1109-153c-4cf1-bfb3-b92560c14ddd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826591697, refreshable=false
2021-06-04T16:59:51.697Z [AUDIT] Token created by 'jffe@000': tokenId='aef3e7e9-779d-4122-b88c-8b657dbfd0fd', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826591697, refreshable=false
2021-06-04T16:59:51.704Z [AUDIT] Token created by 'jffe@000': tokenId='f98200dc-e0f0-4ed7-bf64-2bf2b61dfb67', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622826591703, refreshable=false
2021-06-04T17:05:01.863Z [AUDIT] Token created by 'jffe@000': tokenId='f5c12f2a-17be-4fa4-9b86-2312f104e45f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622826901862, refreshable=false
2021-06-04T17:09:51.754Z [AUDIT] Token created by 'jffe@000': tokenId='2767c6e8-a3b6-41d6-abc0-c730f10f88a8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827191754, refreshable=false
2021-06-04T17:09:51.754Z [AUDIT] Token created by 'jffe@000': tokenId='9c3b3181-18e4-41bd-8783-6a37a5cca423', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827191754, refreshable=false
2021-06-04T17:09:51.755Z [AUDIT] Token created by 'jffe@000': tokenId='0ef5d6ec-78ac-4c77-b6ce-9f2899ca4458', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827191755, refreshable=false
2021-06-04T17:12:39.016Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='8f7f90fa-ad66-4863-ae13-c65614c2b3f2', tokenId='492e210b-3133-4b88-a3d3-b73a9c90fdfd', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828559009, refreshable=true
2021-06-04T17:15:01.674Z [AUDIT] Token created by 'jffe@000': tokenId='111985d0-d8ae-4cc8-9064-03f5292bdac2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622827501673, refreshable=false
2021-06-04T17:18:05.979Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='492e210b-3133-4b88-a3d3-b73a9c90fdfd', tokenId='9ba4e858-8848-401a-b930-5f52c5fefd78', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828885975, refreshable=true
2021-06-04T17:19:51.805Z [AUDIT] Token created by 'jffe@000': tokenId='5436d9c9-5676-46b3-be37-86e385921e0d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827791804, refreshable=false
2021-06-04T17:19:51.807Z [AUDIT] Token created by 'jffe@000': tokenId='449a381c-e9ff-47fc-ab6e-c0160a34a351', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827791807, refreshable=false
2021-06-04T17:19:51.809Z [AUDIT] Token created by 'jffe@000': tokenId='1998dc93-79e1-4e3f-a17a-1e1914e94659', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622827791809, refreshable=false
2021-06-04T17:25:01.520Z [AUDIT] Token created by 'jffe@000': tokenId='552c4b49-81d3-4ab5-8f92-c4ebc31bf165', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828101520, refreshable=false
2021-06-04T17:29:51.867Z [AUDIT] Token created by 'jffe@000': tokenId='603bd433-d336-4e67-94e8-7e6fadbd68c3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828391867, refreshable=false
2021-06-04T17:29:51.867Z [AUDIT] Token created by 'jffe@000': tokenId='4633fa28-58d9-4a06-89cd-11992313730a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828391867, refreshable=false
2021-06-04T17:29:51.873Z [AUDIT] Token created by 'jffe@000': tokenId='112d799e-6037-4757-bcbb-947d533668ee', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828391873, refreshable=false
2021-06-04T17:32:32.111Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='9ba4e858-8848-401a-b930-5f52c5fefd78', tokenId='fc614ca5-c277-45e3-a720-8a51b78e761d', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829752107, refreshable=true
2021-06-04T17:35:01.412Z [AUDIT] Token created by 'jffe@000': tokenId='c8220d70-08fc-4b1c-82b6-51bfb8e8f4a9', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828701412, refreshable=false
2021-06-04T17:37:33.451Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='fc614ca5-c277-45e3-a720-8a51b78e761d', tokenId='a4b508e8-dd6b-4129-b70a-bd4b3b0e0008', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830053427, refreshable=true
2021-06-04T17:38:31.685Z [AUDIT] Token created by 'jffe@000': tokenId='c5bcd8e1-4d3e-4227-8261-e4ad3ea355cb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622828911684, refreshable=false
2021-06-04T17:39:51.905Z [AUDIT] Token created by 'jffe@000': tokenId='dd6015d2-91d8-4ced-8b67-34a8cd204b13', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828991905, refreshable=false
2021-06-04T17:39:51.905Z [AUDIT] Token created by 'jffe@000': tokenId='11aaaacf-966d-4605-be49-4425f8bc15f7', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828991905, refreshable=false
2021-06-04T17:39:51.905Z [AUDIT] Token created by 'jffe@000': tokenId='d3c53805-46f9-4b04-acf7-a46a187e4511', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622828991905, refreshable=false
2021-06-04T17:43:39.829Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='a4b508e8-dd6b-4129-b70a-bd4b3b0e0008', tokenId='18aa08e4-ba69-4f33-bf39-a0a946928080', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830419813, refreshable=true
2021-06-04T17:45:01.234Z [AUDIT] Token created by 'jffe@000': tokenId='f4eea14d-1593-4e12-a1e7-19a875025571', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829301233, refreshable=false
2021-06-04T17:46:52.499Z [AUDIT] Token revoked by 'jffe@000': tokenId='18aa08e4-ba69-4f33-bf39-a0a946928080', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830419813, refreshable=true
2021-06-04T17:46:53.176Z [AUDIT] Token created by 'jffe@000': tokenId='f288f30d-9efa-4c57-bffd-dd94ef4d63e5', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829413175, refreshable=false
2021-06-04T17:46:53.265Z [AUDIT] Token created by 'jffe@000': tokenId='d9b0b204-3dff-4a06-a68f-13729506c366', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829413264, refreshable=false
2021-06-04T17:46:53.265Z [AUDIT] Token created by 'jffe@000': tokenId='eb471e0b-01e1-4ad5-a45d-5fa66c601845', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622829413265, refreshable=false
2021-06-04T17:46:59.767Z [AUDIT] Token created by 'jffe@000': tokenId='1879eb22-87e5-420e-a640-9497c99df72a', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1622830619765, refreshable=true
2021-06-04T17:46:59.851Z [AUDIT] Token created by 'jffe@000': tokenId='b9cda115-51f2-44e0-8b57-63fdf54d3b4f', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1622829419851, refreshable=false
2021-06-04T17:47:00.411Z [AUDIT] Token created by 'jffe@000': tokenId='69b6ac58-3372-4382-8a96-5576cfd51619', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1622829420411, refreshable=false
2021-06-04T17:47:00.882Z [AUDIT] Token created by 'jffe@000': tokenId='0798820a-a9c1-4243-b4a1-e46b972c35d4', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1622829420882, refreshable=false
2021-06-04T17:47:55.091Z [AUDIT] Token revoked by 'jffe@000': tokenId='1879eb22-87e5-420e-a640-9497c99df72a', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1622830619765, refreshable=true
2021-06-04T17:48:02.669Z [AUDIT] Token created by 'jffe@000': tokenId='5276993e-41a6-4637-bc7a-373587d9e365', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830682667, refreshable=true
2021-06-04T17:48:02.905Z [AUDIT] Token created by 'jffe@000': tokenId='cd23604a-ffd6-486b-8394-b289a729fafe', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829482905, refreshable=false
2021-06-04T17:48:02.905Z [AUDIT] Token created by 'jffe@000': tokenId='c1085f45-a0f4-4db2-9f4b-4f5250b82573', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829482905, refreshable=false
2021-06-04T17:48:02.913Z [AUDIT] Token created by 'jffe@000': tokenId='87656b0d-1f40-4cf4-b113-d65cad0d793b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829482913, refreshable=false
2021-06-04T17:48:03.877Z [AUDIT] Token created by 'jffe@000': tokenId='140a81d8-5d0c-422d-94bc-f52e5a46bd1f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622829483877, refreshable=false
2021-06-04T17:49:51.951Z [AUDIT] Token created by 'jffe@000': tokenId='bf47d77c-62cf-4af2-89b5-4519ab05f50e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829591951, refreshable=false
2021-06-04T17:49:51.951Z [AUDIT] Token created by 'jffe@000': tokenId='47c32c05-74a8-4d9f-a438-bf573a454bd3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829591951, refreshable=false
2021-06-04T17:49:51.952Z [AUDIT] Token created by 'jffe@000': tokenId='936af393-ca8a-4180-a64e-500d1c567f2e', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622829591952, refreshable=false
2021-06-04T17:58:03.265Z [AUDIT] Token created by 'jffe@000': tokenId='f462f1b9-73be-4033-b485-df962ae9d098', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830083265, refreshable=false
2021-06-04T17:59:51.994Z [AUDIT] Token created by 'jffe@000': tokenId='452b5c8c-bef7-438f-8d2a-987c850b83c2', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830191994, refreshable=false
2021-06-04T17:59:51.994Z [AUDIT] Token created by 'jffe@000': tokenId='7356c72d-4d09-4d0b-b0fd-f95433ccbe8b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830191994, refreshable=false
2021-06-04T17:59:51.995Z [AUDIT] Token created by 'jffe@000': tokenId='63fce4a2-d0b1-4618-ac3e-f7256f11cc6d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830191995, refreshable=false
2021-06-04T18:00:36.255Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='5276993e-41a6-4637-bc7a-373587d9e365', tokenId='63ca1af3-ee5a-4fda-a436-1e1c84b98315', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831436249, refreshable=true
2021-06-04T18:08:03.169Z [AUDIT] Token created by 'jffe@000': tokenId='1fd5867c-cbe7-4932-bb54-0e090a51e98b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830683169, refreshable=false
2021-06-04T18:08:30.840Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='63ca1af3-ee5a-4fda-a436-1e1c84b98315', tokenId='b6246773-6078-4a6e-a644-c26281e90b7a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831910820, refreshable=true
2021-06-04T18:08:41.895Z [AUDIT] Token created by 'jffe@000': tokenId='f1eca5e7-a781-4828-a148-917a78453c62', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622830721895, refreshable=false
2021-06-04T18:09:52.036Z [AUDIT] Token created by 'jffe@000': tokenId='6131656b-3931-4efc-a730-8f5f683ed600', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830792036, refreshable=false
2021-06-04T18:09:52.036Z [AUDIT] Token created by 'jffe@000': tokenId='dfe0349f-1b85-4108-9790-007b09759579', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830792036, refreshable=false
2021-06-04T18:09:52.039Z [AUDIT] Token created by 'jffe@000': tokenId='f09b48dd-df7f-4369-9670-f86d345b403a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622830792039, refreshable=false
2021-06-04T18:18:03.267Z [AUDIT] Token created by 'jffe@000': tokenId='718d8494-1524-4325-8d15-298bd3bf394e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831283267, refreshable=false
2021-06-04T18:19:52.098Z [AUDIT] Token created by 'jffe@000': tokenId='181f86fa-fb54-4505-b4a7-5e87dae60769', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622831392098, refreshable=false
2021-06-04T18:19:52.098Z [AUDIT] Token created by 'jffe@000': tokenId='76d80437-ac3d-4ae9-8128-bfe0d032c183', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622831392098, refreshable=false
2021-06-04T18:19:52.099Z [AUDIT] Token created by 'jffe@000': tokenId='93adee31-5af0-45e4-8ebc-4e73a7264814', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622831392099, refreshable=false
2021-06-04T18:26:49.470Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='b6246773-6078-4a6e-a644-c26281e90b7a', tokenId='a8852165-5b84-46fe-889c-e89547b0a26c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622833009419, refreshable=true
2021-06-04T18:27:51.397Z [AUDIT] Token created by 'jffe@000': tokenId='795e32d2-c9ff-43c7-bdf2-5de818363df3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831871397, refreshable=false
2021-06-04T18:28:09.269Z [AUDIT] Token created by 'jffe@000': tokenId='89a9380c-4355-4b21-9b23-8efff860c111', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831889269, refreshable=false
2021-06-04T18:28:09.269Z [AUDIT] Token created by 'jffe@000': tokenId='4a363469-cecf-4678-80c3-8f3181c858e5', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1622831889269, refreshable=false
2021-06-04T18:28:09.269Z [AUDIT] Token created by 'jffe@000': tokenId='7642a1a9-2fcd-42c3-8903-77e5ab43c752', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831889269, refreshable=false
2021-06-04T18:28:09.288Z [AUDIT] Token created by 'jffe@000': tokenId='04a196a3-6239-4ad4-9a8b-7a44f19edc40', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831889286, refreshable=false
2021-06-04T18:28:09.664Z [AUDIT] Token created by 'jffe@000': tokenId='1f2207e0-6e85-4eb6-b576-b1eff0921207', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1622831889663, refreshable=false
2021-06-04T18:29:52.121Z [AUDIT] Token created by 'jffe@000': tokenId='0e6b671c-8023-43a5-b7dc-08972851887b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622831992121, refreshable=false
2021-06-04T18:29:52.121Z [AUDIT] Token created by 'jffe@000': tokenId='c613d9d6-b1c9-4d44-8369-4bcf479d93d8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1622831992121, refreshable=false
